Modelo,ROC AUC Score,Accuracy,Precision (No),Recall (No),F1-Score (No),Precision (Yes),Recall (Yes),F1-Score (Yes)
Regressão Logística,0.6457,0.7212,0.9798,0.7275,0.835,0.0553,0.5158,0.0999
Floresta Aleatória,0.6784,0.6394,0.9811,0.6406,0.7751,0.0491,0.6,0.0908
Classificador MLP,0.6434,0.8513,0.9762,0.8678,0.9188,0.0688,0.3158,0.113
XGBoost,0.6981,0.6704,0.9829,0.6719,0.7981,0.0553,0.6211,0.1015
LightGBM,0.7177,0.6801,0.9827,0.6823,0.8054,0.0561,0.6105,0.1027
CatBoost,0.6889,0.688,0.9806,0.6921,0.8115,0.0531,0.5579,0.0969
